Unnamed: 0,Close,Date,High,Low,Market Cap,Open,Volume
0,7587.34,"May 24, 2018",7738.6,7331.14,128925000000,7561.12,6049220000
1,7557.82,"May 23, 2018",8054.66,7507.88,137024000000,8037.08,6491120000
2,8041.78,"May 22, 2018",8423.25,8004.58,143534000000,8419.87,5137010000
3,8418.99,"May 21, 2018",8557.52,8365.12,145264000000,8522.33,5154990000
4,8513.25,"May 20, 2018",8562.41,8205.24,140556000000,8246.99,5191060000
5,8247.18,"May 19, 2018",8372.06,8183.35,140689000000,8255.73,4712400000
6,8250.97,"May 18, 2018",8274.12,7974.82,137881000000,8091.83,5764190000
7,8094.32,"May 17, 2018",8445.54,8054.12,142608000000,8370.05,5862530000
8,8368.83,"May 16, 2018",8508.43,8175.49,144878000000,8504.41,6760220000
9,8510.38,"May 15, 2018",8836.19,8456.45,148283000000,8705.19,6705710000
10,8716.79,"May 14, 2018",8881.12,8367.97,148403000000,8713.1,7364150000
11,8723.94,"May 13, 2018",8773.55,8395.12,145022000000,8515.49,5866380000
12,8504.89,"May 12, 2018",8664.86,8223.5,143743000000,8441.44,6821380000
13,8441.49,"May 11, 2018",9052.96,8394.46,154142000000,9052.96,8488520000
14,9043.94,"May 10, 2018",9396.04,9040.52,158772000000,9325.96,6906700000
15,9325.18,"May 09, 2018",9374.76,9031.62,157013000000,9223.73,7226890000
16,9234.82,"May 08, 2018",9462.75,9127.77,159672000000,9380.87,7415870000
17,9373.01,"May 07, 2018",9665.85,9231.53,164161000000,9645.67,7394020000
18,9654.8,"May 06, 2018",9940.14,9465.25,167541000000,9845.31,7222280000
19,9858.15,"May 05, 2018",9964.5,9695.12,165055000000,9700.28,7651940000
20,9700.76,"May 04, 2018",9779.2,9585.96,164956000000,9695.5,8217830000
21,9743.86,"May 03, 2018",9798.33,9188.15,157087000000,9233.97,10207300000
22,9235.92,"May 02, 2018",9256.52,9015.14,154869000000,9104.6,7558160000
23,9119.01,"May 01, 2018",9255.88,8891.05,157350000000,9251.47,7713020000
24,9240.55,"Apr 30, 2018",9477.14,9166.81,160302000000,9426.11,8673920000
25,9419.08,"Apr 29, 2018",9531.49,9193.71,158928000000,9346.41,8853000000
26,9348.48,"Apr 28, 2018",9412.09,8931.99,151991000000,8939.27,7805480000
27,8987.05,"Apr 27, 2018",9375.47,8987.05,157948000000,9290.63,7566290000
28,9281.51,"Apr 26, 2018",9281.51,8727.09,150736000000,8867.32,8970560000
29,8845.74,"Apr 25, 2018",9745.32,8799.84,164893000000,9701.03,11083100000
30,9697.5,"Apr 24, 2018",9732.61,8927.83,151844000000,8934.34,10678800000
31,8930.88,"Apr 23, 2018",8958.55,8788.81,149448000000,8794.39,6925190000
32,8802.46,"Apr 22, 2018",9001.64,8779.61,151651000000,8925.06,6629900000
33,8895.58,"Apr 21, 2018",8997.57,8652.15,150337000000,8848.79,7548550000
