Unnamed: 0,Close,Date,High,Low,Market Cap,Open,Volume
0,601.75,"May 24, 2018",610.82,557.21,58234400000,584.54,2791100000
1,583.59,"May 23, 2018",651.64,572.95,64411000000,646.67,2995430000
2,647.74,"May 22, 2018",700.98,644.03,69726300000,700.18,2230470000
3,699.22,"May 21, 2018",719.28,692.49,71405800000,717.19,2005170000
4,715.37,"May 20, 2018",723.75,692.67,69472800000,697.92,2156910000
5,696.53,"May 19, 2018",715.58,686.79,69174600000,695.07,2021550000
6,694.37,"May 18, 2018",695.03,663.81,66874700000,672.1,2305740000
7,672.66,"May 17, 2018",718.83,668.83,70503400000,708.72,2350620000
8,707.05,"May 16, 2018",710.2,682.54,70426200000,708.09,2476130000
9,708.87,"May 15, 2018",739.05,701.0,72704300000,731.14,2523070000
10,730.55,"May 14, 2018",742.17,695.79,72847500000,732.73,3005110000
11,733.5,"May 13, 2018",741.31,675.32,68304000000,687.17,2362500000
12,686.05,"May 12, 2018",691.41,644.07,67564600000,679.88,2668480000
13,679.59,"May 11, 2018",736.98,669.83,72233800000,727.01,3290080000
14,727.28,"May 10, 2018",766.75,726.66,74758700000,752.58,2748950000
15,752.27,"May 09, 2018",759.53,718.47,74775300000,752.9,2877870000
16,752.86,"May 08, 2018",774.25,728.13,74969200000,755.01,2920490000
17,753.73,"May 07, 2018",795.76,710.18,78758700000,793.34,4316120000
18,792.31,"May 06, 2018",835.06,764.88,81000200000,816.09,3105570000
19,816.12,"May 05, 2018",827.46,784.24,77857000000,784.58,3035040000
20,785.62,"May 04, 2018",803.75,762.63,77066200000,776.77,3533410000
21,779.54,"May 03, 2018",784.34,686.59,68104600000,686.59,4210940000
22,687.15,"May 02, 2018",688.84,667.42,66849100000,674.08,2822270000
23,673.61,"May 01, 2018",674.4,637.54,66477200000,670.46,2678960000
24,669.92,"Apr 30, 2018",694.44,666.12,68376400000,689.76,2853100000
25,688.88,"Apr 29, 2018",697.76,670.51,67782400000,683.91,2740560000
26,683.68,"Apr 28, 2018",691.44,644.65,63877700000,644.65,2496660000
27,647.03,"Apr 27, 2018",684.87,647.03,65594600000,662.11,2598130000
28,662.81,"Apr 26, 2018",663.18,604.01,61219700000,618.08,2984010000
29,615.42,"Apr 25, 2018",707.06,600.21,70018900000,707.06,4216140000
30,708.16,"Apr 24, 2018",708.88,643.4,63701200000,643.4,3581860000
31,642.55,"Apr 23, 2018",646.7,621.03,61490600000,621.2,2386830000
32,621.86,"Apr 22, 2018",640.77,593.87,59985500000,606.12,2426270000
33,605.39,"Apr 21, 2018",621.89,578.55,60951100000,616.0,2612460000
34,615.72,"Apr 20, 2018",618.72,560.28,56188700000,567.99,2849470000
35,567.89,"Apr 19, 2018",567.89,523.26,51829900000,524.04,2256870000
36,524.79,"Apr 18, 2018",525.09,503.05,49769600000,503.31,1762940000
37,502.89,"Apr 17, 2018",518.03,502.56,50534000000,511.14,1760360000
38,511.15,"Apr 16, 2018",534.2,500.25,52592200000,532.07,1758980000
39,531.7,"Apr 15, 2018",531.7,502.88,49696300000,502.88,1726090000
40,501.48,"Apr 14, 2018",512.02,488.28,48668400000,492.58,1519080000
41,492.74,"Apr 13, 2018",526.47,482.66,48715400000,493.16,2419250000
42,492.94,"Apr 12, 2018",493.06,417.41,42483600000,430.16,2519360000
43,430.54,"Apr 11, 2018",430.54,412.47,40980200000,415.02,1439040000
44,414.24,"Apr 10, 2018",415.89,393.88,39430400000,399.41,1196000000
45,398.53,"Apr 09, 2018",429.25,390.61,39565100000,400.86,1478390000
46,400.51,"Apr 08, 2018",402.59,385.6,38065400000,385.74,948488000
47,385.31,"Apr 07, 2018",393.06,369.94,36541900000,370.38,951475000
48,370.29,"Apr 06, 2018",385.19,366.91,37752600000,382.73,967106000
49,383.23,"Apr 05, 2018",387.72,369.82,37470200000,379.95,1210680000
50,380.54,"Apr 04, 2018",417.47,375.31,41065100000,416.49,1287730000
51,416.89,"Apr 03, 2018",418.97,383.53,38180800000,387.31,1363400000
52,386.43,"Apr 02, 2018",395.17,377.59,37422500000,379.7,1102260000
53,379.61,"Apr 01, 2018",400.53,363.81,39144700000,397.25,1256930000
54,396.46,"Mar 31, 2018",418.47,392.95,38914900000,395.0,1323920000
55,394.64,"Mar 30, 2018",409.93,368.63,38010600000,385.9,1878130000
56,385.97,"Mar 29, 2018",450.81,385.81,44125000000,448.07,1970230000
57,446.28,"Mar 28, 2018",466.21,444.86,44334000000,450.29,1514180000
58,450.12,"Mar 27, 2018",491.46,449.97,48193300000,489.59,1617940000
59,489.95,"Mar 26, 2018",526.38,470.44,51598000000,524.29,1638880000
60,524.29,"Mar 25, 2018",535.82,515.66,51431600000,522.7,1151170000
61,526.44,"Mar 24, 2018",545.38,526.08,53375400000,542.57,1300010000
62,539.62,"Mar 23, 2018",540.49,512.13,53098100000,539.86,1596350000
63,539.7,"Mar 22, 2018",577.57,523.09,55273800000,562.1,1523460000
64,561.73,"Mar 21, 2018",589.61,550.57,54967300000,559.1,1781270000
65,557.17,"Mar 20, 2018",567.09,521.2,54722100000,556.72,1833680000
66,556.73,"Mar 19, 2018",558.1,519.12,53718600000,546.63,2046790000
67,538.64,"Mar 18, 2018",551.64,460.09,54200100000,551.64,2685500000
68,552.78,"Mar 17, 2018",609.15,549.1,59104200000,601.68,1267810000
69,601.67,"Mar 16, 2018",623.17,587.86,60083700000,611.78,1417350000
70,611.3,"Mar 15, 2018",620.62,579.5,60371800000,614.84,1770460000
71,614.29,"Mar 14, 2018",702.78,594.1,67857600000,691.22,1810560000
72,690.83,"Mar 13, 2018",713.74,682.35,68524000000,698.15,1425960000
73,699.83,"Mar 12, 2018",742.51,683.27,71086000000,724.41,1765000000
74,723.34,"Mar 11, 2018",735.83,668.12,67235700000,685.31,1562680000
75,686.89,"Mar 10, 2018",748.03,682.7,71620700000,730.16,1532960000
