Unnamed: 0,Close,Date,High,Low,Market Cap,Open,Volume
0,0.073095,24-May-18,0.074387,0.0687,4608060000,0.070087,587902000
1,0.069848,23-May-18,0.076696,0.067811,4935850000,0.075072,608060000
2,0.074829,22-May-18,0.083211,0.074271,5407940000,0.082253,498436000
3,0.082378,21-May-18,0.084728,0.077382,5108620000,0.0777,802233000
4,0.077269,20-May-18,0.078197,0.068474,4554320000,0.069269,470467000
5,0.069144,19-May-18,0.070564,0.067618,4568230000,0.069481,206881000
6,0.069387,18-May-18,0.06953,0.064977,4406620000,0.067023,263305000
7,0.067437,17-May-18,0.073442,0.066256,4728100000,0.071912,304226000
8,0.071954,16-May-18,0.072183,0.064071,4483440000,0.068191,492396000
9,0.068566,15-May-18,0.073619,0.067555,4789010000,0.072839,287628000
10,0.072812,14-May-18,0.076108,0.070672,5003980000,0.076108,463712000
11,0.075613,13-May-18,0.077011,0.067982,4546690000,0.069153,601064000
12,0.068731,12-May-18,0.071636,0.060636,4351330000,0.066182,615174000
13,0.065933,11-May-18,0.077209,0.063906,4839120000,0.073601,836389000
14,0.073574,10-May-18,0.081609,0.073156,5326040000,0.081007,352613000
15,0.081006,9-May-18,0.082979,0.078888,5455730000,0.082979,357911000
16,0.083071,8-May-18,0.086035,0.080759,5483690000,0.083405,372063000
17,0.083086,7-May-18,0.084966,0.079716,5586330000,0.084966,412406000
18,0.084778,6-May-18,0.087098,0.081907,5726530000,0.087098,388707000
19,0.087102,5-May-18,0.090875,0.086187,5668280000,0.086212,476743000
20,0.08681,4-May-18,0.088867,0.081083,5725660000,0.087085,727056000
21,0.08734,3-May-18,0.091438,0.084533,6004230000,0.091322,789151000
22,0.091397,2-May-18,0.093038,0.090174,6099080000,0.092764,401506000
23,0.09336,1-May-18,0.094279,0.086773,6163570000,0.093745,1043370000
24,0.093777,30-Apr-18,0.101197,0.086102,5894710000,0.089656,1749640000
25,0.089145,29-Apr-18,0.090331,0.080684,5371350000,0.081696,1161460000
26,0.081662,28-Apr-18,0.084223,0.073807,4852670000,0.073807,718298000
27,0.074037,27-Apr-18,0.079154,0.07184,4924150000,0.074894,717530000
28,0.074566,26-Apr-18,0.074566,0.06675,4601250000,0.069983,759337000
29,0.070015,25-Apr-18,0.081392,0.066467,4712910000,0.071681,2124440000
30,0.07336,24-Apr-18,0.077469,0.057221,3836350000,0.058349,1561020000
31,0.058546,23-Apr-18,0.058546,0.052384,3447180000,0.05243,472464000
32,0.05242,22-Apr-18,0.05451,0.051837,3511380000,0.053407,319432000
33,0.053677,21-Apr-18,0.056619,0.049721,3528000000,0.053659,715849000
34,0.053673,20-Apr-18,0.053673,0.048199,3230470000,0.049134,477675000
35,0.049392,19-Apr-18,0.051807,0.04691,3118400000,0.047429,587154000
36,0.047521,18-Apr-18,0.047521,0.041996,2761820000,0.042006,475426000
37,0.042116,17-Apr-18,0.0434,0.0407,2713770000,0.041275,359111000
38,0.041256,16-Apr-18,0.043903,0.040221,2820460000,0.042898,296338000
39,0.042971,15-Apr-18,0.043279,0.040013,2634010000,0.040062,306262000
40,0.040011,14-Apr-18,0.041515,0.038567,2543450000,0.038685,307575000
41,0.039006,13-Apr-18,0.043226,0.038224,2591430000,0.039414,484566000
42,0.039564,12-Apr-18,0.03987,0.035239,2376310000,0.036143,415957000
43,0.036271,11-Apr-18,0.037493,0.036001,2422880000,0.036851,301439000
44,0.036928,10-Apr-18,0.037169,0.035008,2353230000,0.035792,303562000
45,0.035756,9-Apr-18,0.037986,0.034338,2475120000,0.037645,295115000
46,0.037632,8-Apr-18,0.038684,0.036735,2431200000,0.036978,215713000
47,0.037064,7-Apr-18,0.03815,0.036262,2424740000,0.036879,245334000
48,0.036918,6-Apr-18,0.044105,0.035852,2583490000,0.039294,661967000
49,0.040014,5-Apr-18,0.050131,0.029025,1978730000,0.030096,1488740000
50,0.030136,4-Apr-18,0.035158,0.029716,2280400000,0.034684,157469000
51,0.034801,3-Apr-18,0.035827,0.033471,2346600000,0.035691,240608000
52,0.035755,2-Apr-18,0.035755,0.031021,2121750000,0.032271,241103000
53,0.032152,1-Apr-18,0.034842,0.028607,2232460000,0.033955,219373000
54,0.033972,31-Mar-18,0.042971,0.033591,2714260000,0.041283,358492000
55,0.041277,30-Mar-18,0.045609,0.039127,2802890000,0.042631,349433000
56,0.043002,29-Mar-18,0.05061,0.043002,3219420000,0.048966,483101000
57,0.048817,28-Mar-18,0.049505,0.0426,2817610000,0.042854,280836000
58,0.043075,27-Mar-18,0.046132,0.040471,2917470000,0.044373,274910000
59,0.044378,26-Mar-18,0.046448,0.03946,2981060000,0.045341,327374000
60,0.045311,25-Mar-18,0.049612,0.04486,3249150000,0.049418,320430000
61,0.04978,24-Mar-18,0.052989,0.041091,2742830000,0.041717,706931000
62,0.041137,23-Mar-18,0.041137,0.03508,2488770000,0.037853,230134000
63,0.037924,22-Mar-18,0.039077,0.034522,2443140000,0.037159,227472000
64,0.037107,21-Mar-18,0.040039,0.036349,2504020000,0.038085,232926000
65,0.038113,20-Mar-18,0.040354,0.031429,2151820000,0.032728,250397000
66,0.032364,19-Mar-18,0.032995,0.028221,1904740000,0.02897,183591000
67,0.028621,18-Mar-18,0.029387,0.023117,1859720000,0.028286,127381000
68,0.028358,17-Mar-18,0.030309,0.028002,1983220000,0.030164,116472000
69,0.030119,16-Mar-18,0.031245,0.028954,1975650000,0.030049,149356000
70,0.030119,15-Mar-18,0.03119,0.028357,2041290000,0.031047,169547000
71,0.031057,14-Mar-18,0.036323,0.030237,2347250000,0.035701,197406000
72,0.035726,13-Mar-18,0.037122,0.034525,2364860000,0.035968,200526000
73,0.036132,12-Mar-18,0.039508,0.034644,2535330000,0.038561,228565000
74,0.038716,11-Mar-18,0.039321,0.033492,2284820000,0.034751,266342000
75,0.034928,10-Mar-18,0.038182,0.034484,2428790000,0.036941,253447000
76,0.036981,9-Mar-18,0.037402,0.030829,2390830000,0.036363,295229000
77,0.036425,8-Mar-18,0.039594,0.035278,2530480000,0.038488,236262000
78,0.038601,7-Mar-18,0.044899,0.034816,2889260000,0.043944,290194000
79,0.043958,6-Mar-18,0.047626,0.043567,3073300000,0.046744,262251000
80,0.046776,5-Mar-18,0.047905,0.04639,3139800000,0.047755,284714000
81,0.047801,4-Mar-18,0.049675,0.047162,3207790000,0.048789,314649000
82,0.048918,3-Mar-18,0.052737,0.047751,3453410000,0.052525,399205000
83,0.052947,2-Mar-18,0.056474,0.047594,3201930000,0.0487,824566000
84,0.048847,1-Mar-18,0.049225,0.042367,2860960000,0.043514,318231000
85,0.043351,28-Feb-18,0.046405,0.040685,2809830000,0.042736,298758000
86,0.042731,27-Feb-18,0.043099,0.041187,2747730000,0.041792,219795000
87,0.041769,26-Feb-18,0.042894,0.039,2623310000,0.039899,189976000
88,0.039883,25-Feb-18,0.041603,0.039108,2683920000,0.040821,182260000
89,0.040929,24-Feb-18,0.045608,0.039374,2817710000,0.042856,194793000
90,0.042875,23-Feb-18,0.043552,0.039139,2647990000,0.040275,159881000
91,0.040674,22-Feb-18,0.046146,0.039591,2923230000,0.044461,162733000
92,0.04458,21-Feb-18,0.048235,0.042935,3084190000,0.046909,179053000
93,0.046861,20-Feb-18,0.052074,0.04656,3388440000,0.051537,198213000
94,0.051542,19-Feb-18,0.0527,0.049364,3258170000,0.049555,178481000
95,0.049606,18-Feb-18,0.055311,0.048708,3611850000,0.054935,195043000
96,0.054914,17-Feb-18,0.054914,0.050969,3429070000,0.052155,231988000
97,0.052449,16-Feb-18,0.053082,0.046379,3056550000,0.046489,310513000
98,0.046496,15-Feb-18,0.048457,0.045087,3019310000,0.045922,178913000
99,0.045936,14-Feb-18,0.046749,0.043022,2846580000,0.043295,186660000
100,0.043356,13-Feb-18,0.046483,0.042499,3031200000,0.046103,178961000
101,0.046116,12-Feb-18,0.047493,0.042603,2801090000,0.042603,219120000
102,0.042401,11-Feb-18,0.048564,0.040066,3192980000,0.048564,273583000
103,0.048699,10-Feb-18,0.055941,0.044781,3118050000,0.047424,470409000
104,0.047968,9-Feb-18,0.047968,0.034951,2418560000,0.036785,176363000
105,0.036725,8-Feb-18,0.038047,0.032668,2147850000,0.032668,193437000
106,0.032746,7-Feb-18,0.038956,0.031905,2382380000,0.036235,204200000
107,0.036478,6-Feb-18,0.036971,0.025109,1996600000,0.030367,271110000
108,0.030161,5-Feb-18,0.038903,0.028055,2484620000,0.03779,167297000
109,0.037933,4-Feb-18,0.04602,0.036049,2927420000,0.044525,169961000
110,0.044472,3-Feb-18,0.047338,0.03508,2697960000,0.041035,241929000
111,0.040799,2-Feb-18,0.046042,0.031091,3027200000,0.046042,363929000
112,0.046227,1-Feb-18,0.058563,0.043161,3599930000,0.054753,288656000
113,0.054454,31-Jan-18,0.054454,0.049636,3547640000,0.053958,251081000
114,0.053761,30-Jan-18,0.06412,0.051582,4212160000,0.064065,267126000
115,0.064001,29-Jan-18,0.066769,0.063113,4302000000,0.065431,256876000
116,0.065495,28-Jan-18,0.070875,0.065049,4531100000,0.068916,276321000
117,0.068422,27-Jan-18,0.069426,0.064973,4371910000,0.066495,282557000
118,0.06663,26-Jan-18,0.071055,0.06036,4510310000,0.0686,381402000
119,0.068766,25-Jan-18,0.073681,0.067022,4684670000,0.071252,362498000
120,0.070421,24-Jan-18,0.07432,0.066939,4510090000,0.068596,505469000
